"id","date","remitted","cash","gcash","total_unpaid","late_payments","total_remittance","total_sales","total_discount","spoilages","unpaid","late","total_purchases","purchases","created_at","updated_at"
"11","2022-07-11","0.00","7785.00","0.00","430.00","2505.00","10590.00","8215.00",NULL,"[]","[{""name"":""sir lexter king - "",""price"":""170.00""},{""name"":""sir jann - "",""price"":""110.00""},{""name"":""sir ghino - "",""price"":""70.00""},{""name"":""maam shiella - "",""price"":""80.00""}]","[{""name"":""ma'am rizza - care off sir jhino (Jul 05) - cash"",""price"":""240.00""},{""name"":""ma'am rizza - care off sir ghino (Jul 05) - cash"",""price"":""425.00""},{""name"":""ma'am rizza - care off sir ghino (Jul 05) - cash"",""price"":""150.00""},{""name"":""ma'am rizza - care off sir ghino (Jul 05) - cash"",""price"":""770.00""},{""name"":""sir Ghino -  (Jul 05) - cash"",""price"":""760.00""},{""name"":""sir jm -  (Jul 06) - cash"",""price"":""160.00""}]","130.00","[{""name"":""Ice"",""price"":130}]","2022-07-11 17:13:08","2022-07-11 17:13:08"
"12","2022-07-12","0.00","6745.00","1755.00","0.00","170.00","8540.00","8500.00",NULL,"[]","[]","[{""name"":""sir lexter king -  (Jul 11) - cash"",""price"":""170.00""}]","130.00","[{""name"":""Ice"",""price"":130}]","2022-07-12 17:07:08","2022-07-12 17:07:08"
"13","2022-07-12","0.00","7195.00","1755.00","0.00","170.00","8990.00","8950.00",NULL,"[]","[]","[{""name"":""sir lexter king -  (Jul 11) - cash"",""price"":""170.00""}]","130.00","[{""name"":""Ice"",""price"":130}]","2022-07-12 17:10:26","2022-07-12 17:10:26"
"14","2022-07-13","0.00","6915.00","0.00","805.00","650.00","8175.00","7720.00",NULL,"[]","[{""name"":""ma'am shiela - "",""price"":""255.00""},{""name"":""kuya jj  - care off sir jc"",""price"":""165.00""},{""name"":""sir jann - "",""price"":""110.00""},{""name"":""sir jeff - care off sir jann"",""price"":""95.00""},{""name"":""sir gary - care off sir jc"",""price"":""85.00""},{""name"":""sir jann - care off sir jann"",""price"":""95.00""}]","[{""name"":""maam brylyn -  (Jul 05) - cash"",""price"":""650.00""}]","195.00","[{""name"":""Ice (1.5 sack)"",""price"":195}]","2022-07-13 17:30:57","2022-07-13 17:30:57"
"15","2022-07-14","0.00","8450.00","665.00","320.00","0.00","9065.00","9435.00",NULL,"[]","[{""name"":""kuya luis - "",""price"":""320.00""}]","[]","370.00","[{""name"":""Ice"",""price"":130},{""name"":""Gcash (Order #624 | 440.00)"",""price"":240}]","2022-07-14 17:32:47","2022-07-14 17:32:47"
"16","2022-07-14","0.00","8450.00","665.00","320.00","0.00","9065.00","9435.00",NULL,"[]","[{""name"":""kuya luis - "",""price"":""320.00""}]","[]","370.00","[{""name"":""Ice"",""price"":130},{""name"":""GCash from order no624"",""price"":240}]","2022-07-14 17:37:24","2022-07-14 17:37:24"
"17","2022-07-15","0.00","7735.00","465.00","0.00","0.00","8070.00","8200.00",NULL,"[]","[]","[]","130.00","[{""name"":""Ice"",""price"":130}]","2022-07-15 17:44:12","2022-07-15 17:44:12"
"18","2022-07-18","0.00","7615.00","960.00","440.00","0.00","8625.00","9015.00",NULL,"[]","[{""name"":""SIR JOSH - "",""price"":""40.00""},{""name"":""Sir VPA - care off sir jan"",""price"":""400.00""}]","[]","390.00","[{""name"":""Ice"",""price"":390}]","2022-07-18 17:13:43","2022-07-18 17:13:43"
"19","2022-07-19","0.00","5390.00","0.00","85.00","0.00","5345.00","5475.00",NULL,"[]","[{""name"":""sir jj - "",""price"":""85.00""}]","[]","130.00","[{""name"":""Ice"",""price"":130}]","2022-07-19 17:13:44","2022-07-19 17:13:44"
"20","2022-07-20","0.00","4960.00","710.00","0.00","125.00","5665.00","5670.00",NULL,"[]","[]","[{""name"":""SIR JOSH -  (Jul 18) - cash"",""price"":""40.00""},{""name"":""sir jj -  (Jul 19) - cash"",""price"":""85.00""}]","130.00","[{""name"":""Ice"",""price"":130}]","2022-07-20 17:11:51","2022-07-20 17:11:51"
"21","2022-07-21","0.00","4855.00","540.00","1220.00","0.00","6355.00","6615.00",NULL,"[]","[{""name"":""maam rizza  - care off si ghino"",""price"":""355.00""},{""name"":""maam rizza  - care off sir ghino"",""price"":""255.00""},{""name"":""sir jann - "",""price"":""190.00""},{""name"":""maam rizza  - care off sir ghino"",""price"":""95.00""},{""name"":""maam rizza - care off sir ghino"",""price"":""240.00""},{""name"":""sir lanz  - care off sir jc"",""price"":""85.00""}]","[]","260.00","[{""name"":""Ice"",""price"":260}]","2022-07-21 16:55:42","2022-07-21 16:55:42"
"22","2022-07-22","0.00","6665.00","250.00","0.00","0.00","6785.00","6915.00",NULL,"[]","[]","[]","130.00","[{""name"":""Ice"",""price"":130}]","2022-07-22 16:48:56","2022-07-22 16:48:56"
"23","2022-07-25","0.00","10620.00","545.00","125.00","1600.00","12630.00","11290.00",NULL,"[]","[{""name"":""ma'am bry - "",""price"":""125.00""}]","[{""name"":""sir ghinno  - care off sir jc (Jul 08) - cash"",""price"":""340.00""},{""name"":""vpa -  (Jul 08) - cash"",""price"":""245.00""},{""name"":""sir ghino -  (Jul 11) - cash"",""price"":""70.00""},{""name"":""maam rizza  - care off si ghino (Jul 21) - cash"",""price"":""355.00""},{""name"":""maam rizza  - care off sir ghino (Jul 21) - cash"",""price"":""255.00""},{""name"":""maam rizza  - care off sir ghino (Jul 21) - cash"",""price"":""95.00""},{""name"":""maam rizza - care off sir ghino (Jul 21) - cash"",""price"":""240.00""}]","260.00","[{""name"":""Ice"",""price"":260}]","2022-07-25 17:06:29","2022-07-25 17:06:29"
"24","2022-07-25","0.00","10225.00","545.00","125.00","1600.00","12235.00","10895.00",NULL,"[]","[{""name"":""ma'am bry - "",""price"":""125.00""}]","[{""name"":""sir ghinno  - care off sir jc (Jul 08) - cash"",""price"":""340.00""},{""name"":""vpa -  (Jul 08) - cash"",""price"":""245.00""},{""name"":""sir ghino -  (Jul 11) - cash"",""price"":""70.00""},{""name"":""maam rizza  - care off si ghino (Jul 21) - cash"",""price"":""355.00""},{""name"":""maam rizza  - care off sir ghino (Jul 21) - cash"",""price"":""255.00""},{""name"":""maam rizza  - care off sir ghino (Jul 21) - cash"",""price"":""95.00""},{""name"":""maam rizza - care off sir ghino (Jul 21) - cash"",""price"":""240.00""}]","260.00","[{""name"":""Ice "",""price"":260}]","2022-07-25 17:17:34","2022-07-25 17:17:34"
"25","2022-07-26","0.00","9560.00","435.00","580.00","415.00","10730.00","10575.00",NULL,"[]","[{""name"":""love - "",""price"":""470.00""},{""name"":""ma'am shiela(sir jepoy) - "",""price"":""110.00""}]","[{""name"":""ma'am shiela -  (Jul 02) - cash"",""price"":""80.00""},{""name"":""maam shiella -  (Jul 11) - cash"",""price"":""80.00""},{""name"":""ma'am shiela -  (Jul 13) - cash"",""price"":""255.00""}]","260.00","[{""name"":""Ice "",""price"":260}]","2022-07-26 16:42:15","2022-07-26 16:42:15"
"26","2022-07-26","0.00","9560.00","435.00","110.00","415.00","10260.00","10105.00",NULL,"[]","[{""name"":""ma'am shiela(sir jepoy) - "",""price"":""110.00""}]","[{""name"":""ma'am shiela -  (Jul 02) - cash"",""price"":""80.00""},{""name"":""maam shiella -  (Jul 11) - cash"",""price"":""80.00""},{""name"":""ma'am shiela -  (Jul 13) - cash"",""price"":""255.00""}]","260.00","[{""name"":""Ice"",""price"":260}]","2022-07-26 16:44:44","2022-07-26 16:44:44"
"27","2022-07-27","0.00","3030.00","0.00","205.00","125.00","3230.00","3235.00",NULL,"[]","[{""name"":""sir ghino - "",""price"":""135.00""},{""name"":""sir ghino - "",""price"":""70.00""}]","[{""name"":""ma'am bry -  (Jul 25) - cash"",""price"":""125.00""}]","130.00","[{""name"":""Ice "",""price"":130}]","2022-07-27 14:46:01","2022-07-27 14:46:01"
"28","2022-07-28","0.00","7080.00","240.00","100.00","70.00","7360.00","7420.00",NULL,"[]","[{""name"":""sir ghino - "",""price"":""100.00""}]","[{""name"":""sir ghino -  (Jul 27) - cash"",""price"":""70.00""}]","130.00","[{""name"":""Ice"",""price"":130}]","2022-07-28 16:48:37","2022-07-28 16:48:37"
"29","2022-07-29","0.00","9965.00","225.00","480.00","0.00","10540.00","10670.00",NULL,"[]","[{""name"":""sir ghino - "",""price"":""85.00""},{""name"":""vpa - care off sir jann"",""price"":""95.00""},{""name"":""sir jann - "",""price"":""95.00""},{""name"":""sir jann - "",""price"":""110.00""},{""name"":""sir jann - "",""price"":""95.00""}]","[]","130.00","[{""name"":""Ice"",""price"":130}]","2022-07-29 16:36:50","2022-07-29 16:36:50"
"30","2022-07-30","0.00","1175.00","600.00","1540.00","0.00","3185.00","3315.00",NULL,"[]","[{""name"":""sir ghino - "",""price"":""1,540.00""}]","[]","130.00","[{""name"":""Ice"",""price"":130}]","2022-08-01 08:54:41","2022-08-01 08:54:41"
"31","2022-08-01","0.00","13455.00","820.00","80.00","0.00","14095.00","14355.00",NULL,"[]","[{""name"":""sir ralph - "",""price"":""80.00""}]","[]","260.00","[{""name"":""Ice"",""price"":260}]","2022-08-01 17:42:33","2022-08-01 17:42:33"
"32","2022-08-02","0.00","6080.00","565.00","0.00","0.00","6515.00","6645.00",NULL,"[]","[]","[]","130.00","[{""name"":""Ice"",""price"":130}]","2022-08-02 17:19:47","2022-08-02 17:19:47"
"33","2022-08-03","0.00","5790.00","70.00","0.00","0.00","5730.00","5860.00",NULL,"[]","[]","[]","130.00","[{""name"":""Ice"",""price"":130}]","2022-08-03 17:12:31","2022-08-03 17:12:31"
"34","2022-08-04","0.00","8045.00","0.00","0.00","0.00","7915.00","8045.00",NULL,"[]","[]","[]","130.00","[{""name"":""Ice "",""price"":130}]","2022-08-04 17:14:11","2022-08-04 17:14:11"
"35","2022-08-05","0.00","7385.00","1325.00","0.00","0.00","8580.00","8710.00",NULL,"[]","[]","[]","130.00","[{""name"":""Ice"",""price"":130}]","2022-08-05 17:21:06","2022-08-05 17:21:06"
"36","2022-08-06","0.00","1540.00","0.00","85.00","0.00","1625.00","1625.00",NULL,"[]","[{""name"":""sir ralph - "",""price"":""85.00""}]","[]","0.00","[{""name"":"""",""price"":0}]","2022-08-06 14:46:37","2022-08-06 14:46:37"
"37","2022-08-08","0.00","6875.00","255.00","1640.00","0.00","8640.00","8770.00",NULL,"[]","[{""name"":""sir rod caba\u00f1a - care off sir ghino"",""price"":""945.00""},{""name"":""sir king - "",""price"":""175.00""},{""name"":""ma'am tin - care off sir jann"",""price"":""110.00""},{""name"":""ma'am shiela - care off sir jann"",""price"":""110.00""},{""name"":""sir jeff - care off sir jann"",""price"":""110.00""},{""name"":""sir edz - "",""price"":""190.00""}]","[]","130.00","[{""name"":""Ice"",""price"":130}]","2022-08-08 17:24:58","2022-08-08 17:24:58"
"38","2022-08-09","0.00","4985.00","670.00","0.00","0.00","5525.00","5655.00",NULL,"[]","[]","[]","130.00","[{""name"":""Ice"",""price"":130}]","2022-08-09 17:06:39","2022-08-09 17:06:39"
"39","2022-08-10","0.00","8525.00","495.00","220.00","365.00","9475.00","9240.00",NULL,"[]","[{""name"":""sir ghino - "",""price"":""150.00""},{""name"":""gab - "",""price"":""70.00""}]","[{""name"":""sir king -  (Aug 08) - cash"",""price"":""175.00""},{""name"":""sir edz -  (Aug 08) - cash"",""price"":""190.00""}]","130.00","[{""name"":""Ice"",""price"":130}]","2022-08-10 17:26:42","2022-08-10 17:26:42"
"40","2022-08-11","0.00","13775.00","415.00","990.00","0.00","14920.00","15180.00",NULL,"[]","[{""name"":""sir ghino - "",""price"":""320.00""},{""name"":""Ma'am justin - care off Ma'm fel"",""price"":""260.00""},{""name"":""kuya luis - "",""price"":""410.00""}]","[]","260.00","[{""name"":""Ice"",""price"":260}]","2022-08-11 17:12:21","2022-08-11 17:12:21"
"41","2022-08-13","0.00","1920.00","80.00","0.00","0.00","1870.00","2000.00",NULL,"[]","[]","[]","130.00","[{""name"":""Ice"",""price"":130}]","2022-08-13 16:00:40","2022-08-13 16:00:40"
"42","2022-08-12","0.00","465.00","0.00","0.00","0.00","465.00","465.00",NULL,"[]","[]","[]","0.00","[]","2022-08-13 16:01:34","2022-08-13 16:01:34"
"43","2022-08-15","0.00","9190.00","0.00","305.00","0.00","9365.00","9495.00",NULL,"[]","[{""name"":""maam marian - "",""price"":""55.00""},{""name"":""sir jm - "",""price"":""230.00""},{""name"":""sir - "",""price"":""20.00""}]","[]","130.00","[{""name"":""Ice"",""price"":130}]","2022-08-15 17:31:19","2022-08-15 17:31:19"
"44","2022-08-16","0.00","5265.00","235.00","355.00","0.00","5725.00","5855.00",NULL,"[]","[{""name"":""SIR LANZ - "",""price"":""160.00""},{""name"":""SIR JEFF - care off SIR JANN"",""price"":""195.00""}]","[]","130.00","[{""name"":""Ice"",""price"":130}]","2022-08-16 17:13:50","2022-08-16 17:13:50"
"45","2022-08-17","0.00","4590.00","210.00","850.00","160.00","5680.00","5650.00",NULL,"[]","[{""name"":""JP BAGTAS COUPON - care off SIR JANN"",""price"":""705.00""},{""name"":""LUIS - "",""price"":""85.00""},{""name"":""MAM MINERVA - "",""price"":""60.00""}]","[{""name"":""SIR LANZ -  (Aug 16) - cash"",""price"":""160.00""}]","130.00","[{""name"":""Ice"",""price"":130}]","2022-08-17 17:05:29","2022-08-17 17:05:29"
"46","2022-08-18","0.00","3470.00","130.00","445.00","0.00","3915.00","4045.00",NULL,"[]","[{""name"":""SIR LANZ - "",""price"":""85.00""},{""name"":""maam brylyn - "",""price"":""30.00""},{""name"":""sir jj - care off sir jc"",""price"":""330.00""}]","[]","130.00","[{""name"":""Ice"",""price"":130}]","2022-08-18 16:59:05","2022-08-18 16:59:05"
"47","2022-08-19","0.00","4405.00","735.00","535.00","330.00","5875.00","5675.00",NULL,"[]","[{""name"":""SIR LANZ - "",""price"":""80.00""},{""name"":""MA'AM BRY - "",""price"":""90.00""},{""name"":""LUIS - care off SIR JANN"",""price"":""265.00""},{""name"":""SIR LANZ - "",""price"":""100.00""}]","[{""name"":""sir jj - care off sir jc (Aug 18) - cash"",""price"":""330.00""}]","130.00","[{""name"":""Ice"",""price"":130}]","2022-08-19 17:24:36","2022-08-19 17:24:36"
"48","2022-08-20","0.00","1990.00","155.00","0.00","0.00","2015.00","2145.00",NULL,"[]","[]","[]","130.00","[{""name"":""Ice"",""price"":130}]","2022-08-20 13:47:21","2022-08-20 13:47:21"
"49","2022-08-22","0.00","4240.00","395.00","345.00","0.00","4850.00","4980.00",NULL,"[]","[{""name"":""RAM - care off SIR JM"",""price"":""180.00""},{""name"":""MA'AM ARCHITECT - care off SIR JANN"",""price"":""95.00""},{""name"":""SIR GINO - care off SIR JC"",""price"":""70.00""}]","[]","130.00","[{""name"":""Ice"",""price"":130}]","2022-08-22 17:09:55","2022-08-22 17:09:55"
"50","2022-08-25","0.00","4375.00","130.00","335.00","180.00","5020.00","4840.00",NULL,"[]","[{""name"":""LUIS - care off LUIS"",""price"":""115.00""},{""name"":""sir jann - "",""price"":""220.00""}]","[{""name"":""MAM MINERVA -  (Aug 17) - cash"",""price"":""60.00""},{""name"":""maam brylyn -  (Aug 18) - cash"",""price"":""30.00""},{""name"":""MA'AM BRY -  (Aug 19) - cash"",""price"":""90.00""}]","0.00","[{""name"":"""",""price"":0}]","2022-08-25 17:26:03","2022-08-25 17:26:03"
"51","2022-08-26","0.00","6180.00","560.00","0.00","475.00","6860.00","6740.00",NULL,"[]","[]","[{""name"":""sir jc -  (Jul 05) - cash"",""price"":""70.00""},{""name"":""kuya jj  - care off sir jc (Jul 13) - cash"",""price"":""165.00""},{""name"":""sir gary - care off sir jc (Jul 13) - cash"",""price"":""85.00""},{""name"":""sir lanz  - care off sir jc (Jul 21) - cash"",""price"":""85.00""},{""name"":""SIR GINO - care off SIR JC (Aug 22) - cash"",""price"":""70.00""}]","355.00","[{""name"":"""",""price"":355}]","2022-08-26 17:22:06","2022-08-26 17:22:06"
"52","2022-08-27","0.00","850.00","130.00","0.00","165.00","1015.00","980.00",NULL,"[]","[]","[{""name"":""sir ralph -  (Aug 01) - cash"",""price"":""80.00""},{""name"":""sir ralph -  (Aug 06) - cash"",""price"":""85.00""}]","130.00","[{""name"":""Ice"",""price"":130}]","2022-08-27 13:29:48","2022-08-27 13:29:48"
"53","2022-08-30","0.00","4705.00","165.00","450.00","0.00","5190.00","5320.00",NULL,"[]","[{""name"":""maam - "",""price"":""85.00""},{""name"":""sir landingin - "",""price"":""100.00""},{""name"":""sir jann - care off sirjann"",""price"":""180.00""},{""name"":""maam tin - "",""price"":""85.00""}]","[]","130.00","[{""name"":"""",""price"":130}]","2022-08-30 17:21:53","2022-08-30 17:21:53"
"54","2022-08-31","0.00","3660.00","600.00","145.00","0.00","3105.00","4405.00",NULL,"[]","[{""name"":""SIR BAKI - "",""price"":""60.00""},{""name"":""MAAM SHEILA - "",""price"":""85.00""}]","[]","1300.00","[{""name"":"""",""price"":1300}]","2022-08-31 17:38:26","2022-08-31 17:38:26"
"55","2022-09-01","0.00","5315.00","180.00","100.00","0.00","5465.00","5595.00",NULL,"[]","[{""name"":""ma'am bry - "",""price"":""30.00""},{""name"":""SIR GHINO - "",""price"":""70.00""}]","[]","130.00","[{""name"":""Ice"",""price"":130}]","2022-09-01 17:07:42","2022-09-01 17:07:42"
"56","2022-09-02","0.00","5085.00","205.00","0.00","0.00","5160.00","5290.00",NULL,"[]","[]","[]","130.00","[{""name"":""Ice"",""price"":130}]","2022-09-02 17:24:48","2022-09-02 17:24:48"
"57","2022-09-03","0.00","615.00","265.00","375.00","0.00","1125.00","1255.00",NULL,"[]","[{""name"":""SIR JC - "",""price"":""210.00""},{""name"":""donald - care off sir jc"",""price"":""165.00""}]","[]","130.00","[{""name"":"""",""price"":130}]","2022-09-03 13:30:56","2022-09-03 13:30:56"
"58","2022-09-05","0.00","5095.00","540.00","535.00","375.00","6415.00","6170.00",NULL,"[]","[{""name"":""JOYCE(LOYALTY CARD) - "",""price"":""190.00""},{""name"":""SIR - care off SIR JM"",""price"":""140.00""},{""name"":""SIR KEVIN - "",""price"":""205.00""}]","[{""name"":""SIR JC -  (Sep 03) - cash"",""price"":""210.00""},{""name"":""donald - care off sir jc (Sep 03) - cash"",""price"":""165.00""}]","130.00","[{""name"":""Ice"",""price"":130}]","2022-09-05 17:15:54","2022-09-05 17:15:54"
"59","2022-09-06","0.00","3540.00","80.00","190.00","205.00","3885.00","3810.00",NULL,"[]","[{""name"":""SIR JC - "",""price"":""85.00""},{""name"":""SIR JC - "",""price"":""85.00""},{""name"":""IAN - "",""price"":""20.00""}]","[{""name"":""SIR KEVIN -  (Sep 05) - cash"",""price"":""205.00""}]","130.00","[{""name"":""Ice"",""price"":130}]","2022-09-06 17:11:12","2022-09-06 17:11:12"
"60","2022-09-07","0.00","1975.00","0.00","110.00","0.00","1955.00","2085.00",NULL,"[]","[{""name"":""MA'AM BAQUERAN - "",""price"":""110.00""}]","[]","130.00","[{""name"":"""",""price"":130}]","2022-09-07 17:21:10","2022-09-07 17:21:10"
"61","2022-09-08","0.00","3020.00","315.00","1445.00","85.00","4735.00","4780.00",NULL,"[]","[{""name"":""SIR LANDINGIN - "",""price"":""145.00""},{""name"":""SIR GEF - care off SIR GHINO"",""price"":""895.00""},{""name"":""SIR LANZ - "",""price"":""70.00""},{""name"":""SIR JC - "",""price"":""70.00""},{""name"":""SIR JJ - care off SIR JC"",""price"":""265.00""}]","[{""name"":""MAAM SHEILA -  (Aug 31) - cash"",""price"":""85.00""}]","130.00","[{""name"":""Ice "",""price"":130}]","2022-09-08 17:39:26","2022-09-08 17:39:26"
"62","2022-09-09","0.00","7090.00","510.00","1295.00","0.00","8765.00","8895.00",NULL,"[]","[{""name"":""maam minerva - "",""price"":""140.00""},{""name"":""MAAM XIA - "",""price"":""790.00""},{""name"":""MAAM XIA - "",""price"":""155.00""},{""name"":""sir Jc - care off sir Jc"",""price"":""210.00""}]","[]","130.00","[{""name"":""Ice "",""price"":130}]","2022-09-09 17:38:51","2022-09-09 17:38:51"
"63","2022-09-10","0.00","4565.00","0.00","175.00","0.00","4740.00","4740.00",NULL,"[]","[{""name"":""SIR JC - "",""price"":""175.00""}]","[]","0.00","[{""name"":"""",""price"":0}]","2022-09-10 17:21:38","2022-09-10 17:21:38"
"64","2022-09-13","0.00","5055.00","275.00","3080.00","0.00","8150.00","8410.00",NULL,"[]","[{""name"":""SIR LANDINGIN - "",""price"":""100.00""},{""name"":""DARIN - care off SIR JANN"",""price"":""170.00""},{""name"":""SIR RAM  - care off SIR JM"",""price"":""340.00""},{""name"":""MAAM jAS\/CONFERENCE  ROOM - "",""price"":""1,655.00""},{""name"":""SIR GHINNO - "",""price"":""70.00""},{""name"":""SIR GHINNO - "",""price"":""80.00""},{""name"":""SIR LEXTER - "",""price"":""60.00""},{""name"":""SIR GHINO\/MAAM XIA - care off SIRGHINNO"",""price"":""160.00""},{""name"":""SIR JANN - care off SIR JANN"",""price"":""285.00""},{""name"":""SIR KEVIN - "",""price"":""160.00""}]","[]","260.00","[{""name"":""ICE"",""price"":260}]","2022-09-13 17:11:22","2022-09-13 17:11:22"
"65","2022-09-14","0.00","5320.00","455.00","100.00","1525.00","7270.00","5875.00",NULL,"[]","[{""name"":""SIR LANDINGIN - "",""price"":""100.00""}]","[{""name"":""maam venerva -  (Jul 07) - cash"",""price"":""40.00""},{""name"":""SIR LANZ -  (Aug 18) - cash"",""price"":""85.00""},{""name"":""SIR LANZ -  (Aug 19) - cash"",""price"":""80.00""},{""name"":""SIR LANZ -  (Aug 19) - cash"",""price"":""100.00""},{""name"":""SIR BAKI -  (Aug 31) - cash"",""price"":""60.00""},{""name"":""ma'am bry -  (Sep 01) - cash"",""price"":""30.00""},{""name"":""SIR JC -  (Sep 06) - cash"",""price"":""85.00""},{""name"":""SIR JC -  (Sep 06) - cash"",""price"":""85.00""},{""name"":""MA'AM BAQUERAN -  (Sep 07) - cash"",""price"":""110.00""},{""name"":""SIR LANZ -  (Sep 08) - cash"",""price"":""70.00""},{""name"":""SIR JC -  (Sep 08) - cash"",""price"":""70.00""},{""name"":""SIR JJ - care off SIR JC (Sep 08) - cash"",""price"":""265.00""},{""name"":""sir Jc - care off sir Jc (Sep 09) - cash"",""price"":""210.00""},{""name"":""SIR JC -  (Sep 10) - cash"",""price"":""175.00""},{""name"":""SIR LEXTER -  (Sep 13) - cash"",""price"":""60.00""}]","130.00","[{""name"":""Ice"",""price"":130}]","2022-09-14 17:25:14","2022-09-14 17:25:14"
"66","2022-09-15","0.00","4585.00","240.00","80.00","0.00","4775.00","4905.00",NULL,"[]","[{""name"":""sir lexter - "",""price"":""60.00""},{""name"":""sir - "",""price"":""20.00""}]","[]","130.00","[{""name"":""Ice"",""price"":130}]","2022-09-15 17:14:41","2022-09-15 17:14:41"
